fips,county,region,cog,msa,year,sex,total,medage
37099,Jackson,Western North Carolina,Southwestern Commission,Non-Metropolitan,2015,Total,41562,36.70135747
37101,Johnston,Eastern North Carolina,Triangle J Council of Governments,Raleigh,2009,Total,165111,36.28881753
37101,Johnston,Eastern North Carolina,Triangle J Council of Governments,Raleigh,2012,Total,174672,37.19507428
37101,Johnston,Eastern North Carolina,Triangle J Council of Governments,Raleigh,2015,Total,184322,38.06780289
37103,Jones,Eastern North Carolina,Eastern Carolina Council of Governments,New Bern,2009,Total,10129,43.86
37103,Jones,Eastern North Carolina,Eastern Carolina Council of Governments,New Bern,2012,Total,10610,43.55932203
37103,Jones,Eastern North Carolina,Eastern Carolina Council of Governments,New Bern,2015,Total,10413,43.63043478
37105,Lee,Central North Carolina,Triangle J Council of Governments,Non-Metropolitan,2009,Total,57297,37.27075099
37105,Lee,Central North Carolina,Triangle J Council of Governments,Non-Metropolitan,2012,Total,58908,37.48538755
37105,Lee,Central North Carolina,Triangle J Council of Governments,Non-Metropolitan,2015,Total,58795,37.81478969
37107,Lenoir,Eastern North Carolina,Eastern Carolina Council of Governments,Non-Metropolitan,2009,Total,59431,40.82907801
37107,Lenoir,Eastern North Carolina,Eastern Carolina Council of Governments,Non-Metropolitan,2012,Total,59373,41.30039788
37107,Lenoir,Eastern North Carolina,Eastern Carolina Council of Governments,Non-Metropolitan,2015,Total,58286,41.67550702
37109,Lincoln,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2009,Total,77097,40.13856908
37109,Lincoln,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2012,Total,78877,41.47986577
37109,Lincoln,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2015,Total,81126,42.77410714
37111,McDowell,Western North Carolina,Isothermal Planning and Development Commission,Non-Metropolitan,2009,Total,44856,41.33386076
37111,McDowell,Western North Carolina,Isothermal Planning and Development Commission,Non-Metropolitan,2012,Total,45276,42.35441176
37111,McDowell,Western North Carolina,Isothermal Planning and Development Commission,Non-Metropolitan,2015,Total,45404,43.23014587
37113,Macon,Western North Carolina,Southwestern Commission,Non-Metropolitan,2009,Total,33854,47.54545455
37113,Macon,Western North Carolina,Southwestern Commission,Non-Metropolitan,2012,Total,33961,48.2910628
37113,Macon,Western North Carolina,Southwestern Commission,Non-Metropolitan,2015,Total,34731,48.72664835
37115,Madison,Western North Carolina,Land-of-Sky Regional Council,Asheville,2009,Total,20664,42.87985866
37115,Madison,Western North Carolina,Land-of-Sky Regional Council,Asheville,2012,Total,21217,44.12007168
37115,Madison,Western North Carolina,Land-of-Sky Regional Council,Asheville,2015,Total,21670,44.92673993
37117,Martin,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,2009,Total,24508,43.56481481
37117,Martin,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,2012,Total,23967,44.81525424
37117,Martin,Eastern North Carolina,Mid-East Commission,Non-Metropolitan,2015,Total,23725,45.33495146
37119,Mecklenburg,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2009,Total,906473,33.82220198
37119,Mecklenburg,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2012,Total,962525,34.48674799
37119,Mecklenburg,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2015,Total,1034524,35.08654603
37121,Mitchell,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2009,Total,15602,45.33486239
37121,Mitchell,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2012,Total,15413,46.2087156
37121,Mitchell,Western North Carolina,High Country Council of Governments,Non-Metropolitan,2015,Total,15299,46.67050691
37123,Montgomery,Central North Carolina,Piedmont Triad Council of Governments,Non-Metropolitan,2009,Total,27799,39.76158038
37123,Montgomery,Central North Carolina,Piedmont Triad Council of Governments,Non-Metropolitan,2012,Total,27893,40.8556231
37123,Montgomery,Central North Carolina,Piedmont Triad Council of Governments,Non-Metropolitan,2015,Total,27805,41.52286585
37125,Moore,Central North Carolina,Triangle J Council of Governments,Non-Metropolitan,2009,Total,87227,44.71485062
37125,Moore,Central North Carolina,Triangle J Council of Governments,Non-Metropolitan,2012,Total,90699,45.43292683
37125,Moore,Central North Carolina,Triangle J Council of Governments,Non-Metropolitan,2015,Total,94494,46.0229682
37127,Nash,Eastern North Carolina,Upper Coastal Plain Council of Governments,Rocky Mount,2009,Total,94745,39.58351976
37127,Nash,Eastern North Carolina,Upper Coastal Plain Council of Governments,Rocky Mount,2012,Total,95286,40.89088075
37127,Nash,Eastern North Carolina,Upper Coastal Plain Council of Governments,Rocky Mount,2015,Total,94314,41.96170583
37129,New Hanover,Eastern North Carolina,Cape Fear Council of Governments,Wilmington,2009,Total,200265,37.23795073
37129,New Hanover,Eastern North Carolina,Cape Fear Council of Governments,Wilmington,2012,Total,209922,37.55568139
37129,New Hanover,Eastern North Carolina,Cape Fear Council of Governments,Wilmington,2015,Total,219949,37.89556534
37131,Northampton,Eastern North Carolina,Upper Coastal Plain Council of Governments,Non-Metropolitan,2009,Total,22039,44.88942308
37131,Northampton,Eastern North Carolina,Upper Coastal Plain Council of Governments,Non-Metropolitan,2012,Total,21541,45.46626984
37131,Northampton,Eastern North Carolina,Upper Coastal Plain Council of Governments,Non-Metropolitan,2015,Total,21083,45.558
37133,Onslow,Eastern North Carolina,Eastern Carolina Council of Governments,Jacksonville,2009,Total,182546,25.16611296
37133,Onslow,Eastern North Carolina,Eastern Carolina Council of Governments,Jacksonville,2012,Total,191385,26.0370487
37133,Onslow,Eastern North Carolina,Eastern Carolina Council of Governments,Jacksonville,2015,Total,194460,26.25615385
37135,Orange,Central North Carolina,Triangle J Council of Governments,Durham-Chapel Hill,2009,Total,132215,32.76409396
37135,Orange,Central North Carolina,Triangle J Council of Governments,Durham-Chapel Hill,2012,Total,138004,33.53701456
37135,Orange,Central North Carolina,Triangle J Council of Governments,Durham-Chapel Hill,2015,Total,139915,34.79245826
37137,Pamlico,Eastern North Carolina,Eastern Carolina Council of Governments,New Bern,2009,Total,13116,47.8685446
37137,Pamlico,Eastern North Carolina,Eastern Carolina Council of Governments,New Bern,2012,Total,13168,49.18686869
37137,Pamlico,Eastern North Carolina,Eastern Carolina Council of Governments,New Bern,2015,Total,13171,50.2030303
37139,Pasquotank,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2009,Total,40716,36.58736842
37139,Pasquotank,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2012,Total,40145,36.62249443
37139,Pasquotank,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2015,Total,39752,36.6835443
37141,Pender,Eastern North Carolina,Cape Fear Council of Governments,Wilmington,2009,Total,51354,40.99590164
37141,Pender,Eastern North Carolina,Cape Fear Council of Governments,Wilmington,2012,Total,54208,40.99281609
37141,Pender,Eastern North Carolina,Cape Fear Council of Governments,Wilmington,2015,Total,57948,41.44093407
37143,Perquimans,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2009,Total,13347,46.19109948
37143,Perquimans,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2012,Total,13686,47.4251497
37143,Perquimans,Eastern North Carolina,Albemarle Commission,Non-Metropolitan,2015,Total,13628,47.92307692
37145,Person,Central North Carolina,Kerr-Tar Council of Governments,Durham-Chapel Hill,2009,Total,39097,41.1656746
37145,Person,Central North Carolina,Kerr-Tar Council of Governments,Durham-Chapel Hill,2012,Total,39128,42.00178571
37145,Person,Central North Carolina,Kerr-Tar Council of Governments,Durham-Chapel Hill,2015,Total,39523,42.75579151
37147,Pitt,Eastern North Carolina,Mid-East Commission,Greenville,2009,Total,164602,30.88868613
37147,Pitt,Eastern North Carolina,Mid-East Commission,Greenville,2012,Total,172478,31.52594438
37147,Pitt,Eastern North Carolina,Mid-East Commission,Greenville,2015,Total,175428,32.34057301
37149,Polk,Western North Carolina,Isothermal Planning and Development Commission,Non-Metropolitan,2009,Total,20274,48.70032573
37149,Polk,Western North Carolina,Isothermal Planning and Development Commission,Non-Metropolitan,2012,Total,20313,49.63618677
37149,Polk,Western North Carolina,Isothermal Planning and Development Commission,Non-Metropolitan,2015,Total,20809,50.75
37151,Randolph,Central North Carolina,Piedmont Triad Council of Governments,Greensboro-High Point,2009,Total,140633,39.2001385
37151,Randolph,Central North Carolina,Piedmont Triad Council of Governments,Greensboro-High Point,2012,Total,142396,40.16281358
37151,Randolph,Central North Carolina,Piedmont Triad Council of Governments,Greensboro-High Point,2015,Total,142750,40.83463687
37153,Richmond,Central North Carolina,Lumber River Council of Governments,Non-Metropolitan,2009,Total,46685,38.39165447
37153,Richmond,Central North Carolina,Lumber River Council of Governments,Non-Metropolitan,2012,Total,46135,39.28114754
37153,Richmond,Central North Carolina,Lumber River Council of Governments,Non-Metropolitan,2015,Total,45334,40.10526316
37155,Robeson,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,2009,Total,133162,34.25338036
37155,Robeson,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,2012,Total,134342,34.76843911
37155,Robeson,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,2015,Total,133301,35.6446983
37157,Rockingham,Central North Carolina,Piedmont Triad Council of Governments,Greensboro-High Point,2009,Total,93273,41.92139571
37157,Rockingham,Central North Carolina,Piedmont Triad Council of Governments,Greensboro-High Point,2012,Total,92820,42.96613995
37157,Rockingham,Central North Carolina,Piedmont Triad Council of Governments,Greensboro-High Point,2015,Total,92001,43.75118297
37159,Rowan,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2009,Total,137756,38.81769042
37159,Rowan,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2012,Total,138027,39.49069226
37159,Rowan,Central North Carolina,Centralina Council of Governments,Charlotte-Concord-Gastonia (NC),2015,Total,140024,39.79691358
37161,Rutherford,Western North Carolina,Isothermal Planning and Development Commission,Non-Metropolitan,2009,Total,67226,42.02783726
37161,Rutherford,Western North Carolina,Isothermal Planning and Development Commission,Non-Metropolitan,2012,Total,67899,42.93889479
37161,Rutherford,Western North Carolina,Isothermal Planning and Development Commission,Non-Metropolitan,2015,Total,67619,43.47909408
37163,Sampson,Eastern North Carolina,Mid-Carolina Council of Governments,Non-Metropolitan,2009,Total,63317,37.8493228
37163,Sampson,Eastern North Carolina,Mid-Carolina Council of Governments,Non-Metropolitan,2012,Total,64095,38.74817961
37163,Sampson,Eastern North Carolina,Mid-Carolina Council of Governments,Non-Metropolitan,2015,Total,63884,39.34664765
37165,Scotland,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,2009,Total,36330,38.00209644
37165,Scotland,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,2012,Total,36328,38.83175355
37165,Scotland,Eastern North Carolina,Lumber River Council of Governments,Non-Metropolitan,2015,Total,35806,39.66908213
37167,Stanly,Central North Carolina,Centralina Council of Governments,Non-Metropolitan,2009,Total,60205,40.13662791
37167,Stanly,Central North Carolina,Centralina Council of Governments,Non-Metropolitan,2012,Total,60408,41.04704463
37167,Stanly,Central North Carolina,Centralina Council of Governments,Non-Metropolitan,2015,Total,61169,41.70625
37169,Stokes,Central North Carolina,Piedmont Triad Council of Governments,Winston-Salem,2009,Total,47161,42.26369863
37169,Stokes,Central North Carolina,Piedmont Triad Council of Governments,Winston-Salem,2012,Total,47028,43.55830904
37169,Stokes,Central North Carolina,Piedmont Triad Council of Governments,Winston-Salem,2015,Total,46752,44.60222531
37171,Surry,Central North Carolina,Piedmont Triad Council of Governments,Non-Metropolitan,2009,Total,73336,40.91923077
37171,Surry,Central North Carolina,Piedmont Triad Council of Governments,Non-Metropolitan,2012,Total,73633,41.74831569
